Rk,Name,Age,PA,Tm,BtRuns,BtWins,Plays,WPA,WPA+,WPA-,aLI,WPA/LI,Clutch,cWPA,cWPA+,cWPA-,acLI,cClutch,RE24,REW,boLI,RE24/boLI,PHlev,AB,Name-additional
707,Andrew Velazquez#,28,94,LAA,-5.8,-0.6,111,-0.5,1.2,-1.7,0.94,-0.6,0.1,-0.10%,0.60%,-0.70%,0.72,0.20%,-9.9,-1,0.95,-8.2,0,2,velazan01
708,Nelson Velázquez,24,179,TOT,7,0.7,182,0.4,3.6,-3.1,0.95,1.1,-0.6,-0.20%,0.40%,-0.60%,0.24,-0.90%,9.6,0.9,0.93,12.8,2.5,5,velazne01
709,Nelson Velázquez,24,32,CHC,1.6,0.2,33,-0.3,0.7,-1,1.26,0.2,-0.5,-0.20%,0.40%,-0.60%,1.29,-0.30%,0,0,0.93,2.2,,2,velazne01
710,Nelson Velázquez,24,147,KCR,5.4,0.5,149,0.7,2.9,-2.2,0.88,0.8,-0.1,0.00%,0.00%,0.00%,0,,9.6,0.9,0.92,10.5,4.17,3,velazne01
711,Alex Verdugo*,27,602,BOS,-0.4,0,613,-1.3,9.7,-10.9,0.97,-1,-0.3,-0.10%,4.20%,-4.30%,0.66,0.20%,-11,-1.1,0.92,-10.4,1.37,4,verdual01
712,Mark Vientos,23,233,NYM,-10.4,-1,237,-1.5,3.2,-4.7,1.01,-0.9,-0.6,-0.30%,0.60%,-0.90%,0.31,-0.50%,-12.5,-1.3,0.96,-11.1,0.21,4,vientma01
713,Matt Vierling,26,530,DET,-2.9,-0.3,550,-1.1,8.3,-9.3,1.02,-0.6,-0.4,-0.40%,2.00%,-2.50%,0.44,-0.50%,-8.9,-0.9,0.95,-6.9,1.14,9,vierlma01
714,David Villar,26,140,SFG,-8.5,-0.8,142,-1.8,1.2,-3,0.98,-0.9,-0.9,-1.10%,0.70%,-1.80%,0.96,-0.60%,-13.3,-1.3,0.92,-9.3,1.6,5,villada01
715,Meibrys Viloria*,26,4,CLE,-0.5,-0.1,4,0,0,0,2.28,0,0,0.00%,0.00%,0.00%,2.31,0.00%,-0.7,-0.1,1.02,-0.8,,0,vilorme01
716,Daniel Vogelbach*,30,319,NYM,2.1,0.2,320,-0.1,5.8,-5.8,1.04,-0.2,0.1,-0.10%,1.90%,-2.00%,0.62,0.00%,9.2,0.9,0.95,0.6,1.99,24,vogelda01
717,Luke Voit,32,74,MIL,-4.4,-0.4,76,-0.3,1,-1.3,0.9,-0.4,0,-0.20%,0.70%,-0.90%,1.03,0.00%,-5.3,-0.5,0.99,-5,0.22,5,voitlu01
718,Anthony Volpe,22,601,NYY,-15.8,-1.6,645,-1.1,10,-11.1,0.95,-1.2,0,-0.50%,4.10%,-4.60%,0.65,-0.40%,-11.9,-1.2,0.92,-14.9,1.65,4,volpean01
719,Jason Vosler*,29,65,CIN,-5,-0.5,65,-0.2,1.1,-1.3,0.99,-0.3,0.1,0.00%,0.60%,-0.70%,0.88,0.20%,-2.9,-0.3,0.94,-4,1.53,1,vosleja01
720,Joey Votto*,39,242,CIN,-0.9,-0.1,245,0.3,4.3,-4,0.97,0,0.3,0.30%,3.60%,-3.30%,1.33,0.20%,2.1,0.2,0.89,-2,2.15,3,vottojo01
721,LaMonte Wade Jr.*,29,519,SFG,14.7,1.4,528,0.6,8.3,-7.6,0.95,1,-0.3,0.30%,5.10%,-4.80%,0.97,-0.40%,11.3,1.1,0.91,12.9,1.61,10,wadela01
722,Tyler Wade*,28,55,OAK,-1.4,-0.1,60,0,1.1,-1.1,1.37,-0.1,0.2,0.00%,0.10%,-0.10%,0.16,0.10%,-0.7,-0.1,1.04,-1.9,1.73,1,wadety01
723,Adam Wainwright,41,2,STL,-0.6,-0.1,2,0,0,0,0.22,-0.1,0,0.00%,0.00%,0.00%,0,,-0.4,0,0.74,-0.6,0.42,2,wainwad01
724,Christian Walker,32,661,ARI,19.4,1.9,676,1.8,13.6,-11.8,1.01,1.6,0.2,1.10%,9.80%,-8.70%,1.25,-0.10%,9.5,0.9,0.94,15.1,0.81,2,walkech02
725,Jordan Walker,21,465,STL,7.7,0.7,480,0.5,8.7,-8.2,0.98,0.7,-0.2,-0.20%,0.90%,-1.10%,0.21,-1.20%,-10.4,-1,0.94,2.2,0.13,1,walkejo02
726,Forrest Wall*,27,15,ATL,3.2,0.3,21,0.5,0.7,-0.2,1.38,0.5,-0.1,0.00%,0.00%,0.00%,0.29,-0.10%,3.8,0.4,0.96,4.5,0.01,2,wallfo01
727,Chad Wallach,31,172,LAA,-7.4,-0.7,176,-1.1,2.3,-3.5,0.99,-0.9,-0.3,-0.50%,1.30%,-1.80%,0.83,-0.20%,-9.1,-0.9,0.94,-8.6,2.78,6,wallach01
728,Matt Wallner*,25,254,MIN,12.3,1.2,261,0.6,5.3,-4.7,1.08,0.9,-0.4,0.20%,2.20%,-2.10%,0.76,-0.30%,17.9,1.7,0.97,13.9,1.86,3,wallnma01
729,Taylor Walls#,26,349,TBR,-8.5,-0.8,375,0,5.9,-5.9,0.99,-0.7,0.7,-0.10%,3.30%,-3.40%,0.95,0.30%,-1.6,-0.2,0.96,-6.3,1.65,2,wallsta01
730,Jared Walsh*,29,116,LAA,-10.1,-1,116,-1.2,1,-2.2,0.92,-1.3,0,-0.60%,0.40%,-0.90%,0.65,-0.40%,-8.6,-0.8,0.91,-11.1,1.95,1,walshja01
731,Taylor Ward,29,409,LAA,3.2,0.3,421,-1.4,6.3,-7.8,0.99,0.3,-1.7,-1.20%,3.70%,-4.80%,1.01,-1.30%,-1.3,-0.1,0.95,1.7,1.41,6,wardta01
732,Drew Waters#,24,337,KCR,-6.6,-0.7,362,-1.1,5.2,-6.3,1,-0.9,-0.2,0.00%,0.00%,0.00%,0.01,-2.60%,-8,-0.8,0.94,-13.1,2.88,1,waterdr01
733,Austin Wells*,23,75,NYY,-0.4,0,76,-0.2,1.4,-1.6,1.13,-0.2,0,0.00%,0.00%,0.00%,0.03,-0.20%,-1.7,-0.2,1.08,-2.4,1.09,1,wellsau01
734,Joey Wendle*,33,318,MIA,-21.5,-2.1,330,-1.7,4.6,-6.3,0.97,-2.1,0.4,-1.20%,2.80%,-4.00%,1.02,0.10%,-21,-2,0.91,-26.1,1.83,7,wendljo01
735,Jordan Westburg,24,228,BAL,0.5,0.1,237,-0.3,3.5,-3.9,0.93,-0.2,-0.2,-0.50%,2.10%,-2.50%,0.96,-0.40%,-0.9,-0.1,0.93,-2.4,1.1,8,westbjo01
736,Eli White,29,17,ATL,-2.2,-0.2,17,-0.2,0.1,-0.3,0.8,-0.2,0,-0.10%,0.10%,-0.20%,0.93,0.00%,-1.8,-0.2,0.92,-2.4,0.02,1,whiteel04
737,Joey Wiemer,24,410,MIL,-12.4,-1.2,432,-0.8,6.9,-7.7,1,-1.3,0.5,-0.40%,5.00%,-5.50%,1.18,0.40%,-12.8,-1.2,0.98,-12.4,0.37,2,wiemejo01
738,Alika Williams,24,112,PIT,-7.9,-0.8,112,-1,1,-2,0.9,-0.8,-0.3,0.00%,0.00%,-0.10%,0.05,-0.20%,-9.2,-0.9,0.95,-8.6,0,1,willial04
739,Luke Williams,26,19,TOT,-4.6,-0.5,23,-0.1,0.3,-0.4,1.07,-0.3,0.2,-0.10%,0.00%,-0.10%,0.37,-0.10%,-4.3,-0.4,1.03,-4.4,0.6,3,willilu01
740,Luke Williams,26,10,LAD,-2.1,-0.2,11,-0.1,0,-0.2,0.77,-0.2,0,-0.10%,0.00%,-0.10%,0.73,0.00%,-2.2,-0.2,0.98,-2.3,1.19,1,willilu01
741,Luke Williams,26,9,ATL,-2.5,-0.3,12,0,0.2,-0.2,1.34,-0.1,0.1,0.00%,0.00%,0.00%,0.04,0.20%,-2.1,-0.2,1.08,-2.2,0.31,2,willilu01
742,Weston Wilson,28,22,PHI,2.3,0.2,27,0.3,0.4,-0.1,0.79,0.3,0.1,0.10%,0.10%,0.00%,0.26,0.10%,2.6,0.3,0.98,3.5,0,1,wilsowe01
743,Jesse Winker*,29,197,MIL,-8.4,-0.8,198,1,4,-2.9,1.02,-0.5,1.6,0.80%,2.90%,-2.10%,1.24,0.90%,5.3,0.5,0.95,-5.6,1.41,12,winkeje01
744,Masyn Winn,21,137,STL,-12.2,-1.2,141,-1.1,1.6,-2.7,1.05,-1,-0.1,0.00%,0.00%,0.00%,0,0.10%,-15.1,-1.5,0.99,-13.6,,0,winnma01
745,Patrick Wisdom,31,302,CHC,0.9,0.1,309,-0.9,5.2,-6.1,1.01,0.4,-1.3,-0.60%,3.00%,-3.60%,0.99,-0.90%,-5.2,-0.5,1,5.8,1.04,15,wisdopa01
746,Brett Wisely*,24,131,SFG,-10.4,-1,137,-1,1.1,-2.1,0.81,-1.1,-0.1,-0.60%,0.70%,-1.40%,0.86,-0.10%,-8.8,-0.9,0.88,-10.4,,0,wiselbr01
747,Bobby Witt Jr.,23,694,KCR,14.9,1.5,770,-0.2,13.4,-13.5,1.03,1.3,-1.5,-0.40%,0.80%,-1.20%,0.13,-2.80%,9.7,0.9,0.95,10.9,1.4,1,wittbo02
748,Connor Wong,27,403,BOS,-11.2,-1.1,415,-2.4,5.5,-7.9,0.97,-1.3,-1.2,-0.90%,2.30%,-3.10%,0.64,-0.80%,-18.1,-1.7,0.96,-16.5,1.57,5,wongco01
749,Kolten Wong*,32,250,TOT,-15.9,-1.6,257,-0.3,3.9,-4.2,1.04,-1.2,0.9,-0.20%,1.60%,-1.80%,0.7,0.40%,-9.3,-1,0.95,-14.6,1.53,15,wongko01
750,Kolten Wong*,32,216,SEA,-17,-1.7,220,-0.4,3.4,-3.8,1.02,-1.5,1.1,-0.20%,1.60%,-1.80%,0.8,0.60%,-12.2,-1.3,0.93,-16.6,1.5,6,wongko01
751,Kolten Wong*,32,34,LAD,1.1,0.1,37,0.1,0.5,-0.4,1.15,0.2,-0.2,0.00%,0.00%,0.00%,0.11,-0.10%,2.9,0.3,1.04,2,1.56,9,wongko01
752,Austin Wynns,32,145,TOT,-11.1,-1.1,146,-1,1.7,-2.7,0.91,-1,-0.1,0.00%,0.30%,-0.40%,0.21,0.30%,-11.8,-1.1,0.9,-11.8,,0,wynnsau01
753,Austin Wynns,32,2,SFG,-0.6,-0.1,2,-0.1,0,-0.1,1.12,-0.1,0,0.00%,0.00%,0.00%,0.94,0.00%,-0.4,0,0.75,-0.5,,0,wynnsau01
754,Austin Wynns,32,12,LAD,-0.9,-0.1,12,0.1,0.3,-0.2,0.74,-0.1,0.2,0.10%,0.20%,-0.10%,0.75,0.10%,1.1,0.1,0.67,-0.4,,0,wynnsau01
755,Austin Wynns,32,131,COL,-9.7,-0.9,132,-1,1.4,-2.5,0.92,-0.9,-0.3,-0.10%,0.20%,-0.20%,0.15,0.00%,-12.5,-1.2,0.92,-10.8,,0,wynnsau01
756,Mike Yastrzemski*,32,381,SFG,6.6,0.6,388,0.6,7.1,-6.5,0.97,0.5,0.1,0.40%,4.20%,-3.80%,0.96,0.00%,3,0.3,0.92,6,1.21,9,yastrmi01
757,Christian Yelich*,31,632,MIL,20.6,2,676,1.9,12.1,-10.2,0.99,1.8,0.1,1.50%,8.30%,-6.80%,1.11,0.40%,31.3,3,0.94,23.9,2.9,3,yelicch01
758,Juan Yepez,25,65,STL,-4.5,-0.4,65,-0.7,0.5,-1.3,0.87,-0.4,-0.5,-0.10%,0.20%,-0.30%,0.37,-0.30%,-7.6,-0.8,0.86,-5,1.22,10,yepezju01
759,Masataka Yoshida*,29,580,BOS,6.3,0.6,599,-0.7,9.6,-10.2,0.97,0.9,-1.6,-0.10%,4.10%,-4.20%,0.68,-0.60%,6.1,0.6,0.94,6.3,2.02,6,yoshima02
760,Jacob Young,23,121,WSN,-2.2,-0.2,138,-0.3,2.1,-2.4,1.17,-0.4,0.1,0.00%,0.00%,0.00%,0.01,-2.30%,-0.6,-0.1,0.98,-3.3,,0,youngja03
761,Jared Young*,27,47,CHC,-1.4,-0.1,51,-0.6,0.6,-1.2,0.97,0,-0.6,-0.10%,0.20%,-0.40%,0.5,-0.30%,-0.9,-0.1,0.99,0.3,0,1,youngja02
762,Seby Zavala,29,193,TOT,-13.5,-1.3,195,-1.1,2.3,-3.5,0.87,-1.1,-0.2,-0.10%,0.80%,-0.90%,0.42,0.40%,-12.8,-1.3,0.86,-12,,0,zavalse01
763,Seby Zavala,29,176,CHW,-14.7,-1.5,178,-1.3,2,-3.3,0.89,-1.2,-0.3,-0.20%,0.60%,-0.80%,0.36,0.00%,-14.6,-1.4,0.85,-13.2,,0,zavalse01
764,Seby Zavala,29,17,ARI,1.2,0.1,17,0.2,0.3,-0.1,0.74,0.1,0.2,0.20%,0.30%,-0.10%,1.03,0.10%,1.8,0.2,0.99,1.2,0,0,zavalse01
765,Mike Zunino,32,140,CLE,-6.2,-0.6,141,-0.1,2.7,-2.8,1.12,-0.7,0.7,0.00%,1.40%,-1.50%,0.99,0.40%,-6.7,-0.7,0.97,-8.1,,0,zuninmi01
